id,Weekday of Fecha Referencia,Day of Fecha Referencia,Month of Fecha Referencia,Giros
251,1,25,4,3062
252,1,25,5,7457
253,1,25,6,5304
254,1,25,7,3125
255,1,25,8,2524
256,1,25,9,4879
257,1,25,11,8025
258,1,25,12,830
259,1,26,1,2409
260,1,26,2,5172
261,1,26,3,5643
262,1,26,5,2716
263,1,26,6,4465
264,1,26,8,7679
265,1,26,9,3586
266,1,26,10,8913
267,1,26,11,5355
268,1,26,12,1934
269,1,27,1,7529
270,1,27,2,4008
271,1,27,3,4321
272,1,27,4,7062
273,1,27,5,8114
274,1,27,6,3754
275,1,27,7,10681
276,1,27,8,4999
277,1,27,10,2447
278,1,27,11,5212
279,1,28,1,7166
280,1,28,3,2379
281,1,28,4,2498
282,1,28,5,5393
283,1,28,7,2414
284,1,28,8,5900
285,1,28,9,9395
286,1,28,10,8350
287,1,28,11,3627
288,1,28,12,12112
289,1,29,1,4997
290,1,29,2,4850
291,1,29,4,9030
292,1,29,5,4924
293,1,29,6,9215
294,1,29,7,9002
295,1,29,8,3608
296,1,29,9,3102
297,1,29,10,5181
298,1,29,12,3596
299,1,30,1,4533
300,1,30,3,6374
301,1,30,4,6894
302,1,30,5,4036
303,1,30,6,4341
304,1,30,7,6603
305,1,30,9,11942
306,1,30,10,5884
307,1,30,11,12756
308,1,30,12,12669
309,1,31,3,4435
310,1,31,7,7165
311,1,31,8,13499
312,1,31,10,6776
313,1,31,12,9976
314,2,1,1,2264
315,2,1,3,5654
316,2,1,4,4700
317,2,1,5,3132
318,2,1,7,4880
319,2,1,8,7824
320,2,1,9,14109
321,2,1,10,13126
322,2,1,11,3197
323,2,1,12,14496
324,2,2,1,7086
325,2,2,2,5055
326,2,2,4,12340
327,2,2,5,8128
328,2,2,6,10618
329,2,2,7,12908
330,2,2,8,5833
331,2,2,9,4514
332,2,2,10,7951
333,2,2,12,4473
334,2,3,1,4728
335,2,3,2,3966
336,2,3,3,12375
337,2,3,4,8797
338,2,3,5,5965
339,2,3,6,4745
340,2,3,7,8046
341,2,3,9,11936
342,2,3,10,6709
343,2,3,11,13457
344,2,3,12,12328
345,2,4,2,11321
346,2,4,3,4020
347,2,4,4,6012
348,2,4,6,12044
349,2,4,7,7314
350,2,4,8,12768
351,2,4,9,7662
352,2,4,10,5767
353,2,4,11,3866
354,2,4,12,7714
355,2,5,1,12639
356,2,5,2,9915
357,2,5,3,10666
358,2,5,4,4955
359,2,5,5,11183
360,2,5,6,7557
361,2,5,7,5568
362,2,5,8,3908
363,2,5,9,6556
364,2,5,11,11872
365,2,5,12,6761
366,2,6,1,1923
367,2,6,2,6122
368,2,6,3,6678
369,2,6,5,4130
370,2,6,6,6606
371,2,6,8,12219
372,2,6,9,4927
373,2,6,10,11894
374,2,6,11,7152
375,2,6,12,3945
376,2,7,1,11695
377,2,7,2,4524
378,2,7,3,5063
379,2,7,4,7485
380,2,7,5,11153
381,2,7,6,4587
382,2,7,7,10501
383,2,7,8,6445
384,2,7,10,3030
385,2,7,11,5906
386,2,8,1,8560
387,2,8,3,3991
388,2,8,4,2809
389,2,8,5,6298
390,2,8,7,3079
391,2,8,8,5519
392,2,8,9,10017
393,2,8,10,9680
394,2,8,11,4040
395,2,8,12,6424
396,2,9,1,4948
397,2,9,2,3062
398,2,9,4,8549
399,2,9,5,5006
400,2,9,6,8406
401,2,9,7,8945
402,2,9,8,3893
403,2,9,9,2857
404,2,9,10,5762
405,2,9,12,3374
406,2,10,1,4777
407,2,10,2,3947
408,2,10,3,10691
409,2,10,4,6484
410,2,10,5,4395
411,2,10,6,4166
412,2,10,7,6034
413,2,10,9,11061
414,2,10,10,6179
415,2,10,11,10831
416,2,10,12,11319
417,2,11,2,9838
418,2,11,3,3487
419,2,11,4,5308
420,2,11,6,9822
421,2,11,7,5478
422,2,11,8,10265
423,2,11,9,5859
424,2,11,10,4202
425,2,11,11,3220
426,2,11,12,9979
427,2,12,1,10171
428,2,12,2,7982
429,2,12,3,8930
430,2,12,4,3798
431,2,12,5,8004
432,2,12,6,6782
433,2,12,7,4154
434,2,12,8,3267
435,2,12,9,5462
436,2,12,11,8793
437,2,12,12,5569
438,2,13,1,2840
439,2,13,2,4744
440,2,13,3,5157
441,2,13,5,3082
442,2,13,6,5032
443,2,13,8,8259
444,2,13,9,3632
445,2,13,10,11205
446,2,13,11,5573
447,2,13,12,4126
448,2,14,1,8033
449,2,14,2,4025
450,2,14,3,4371
451,2,14,4,6981
452,2,14,5,8225
453,2,14,6,3431
454,2,14,7,9137
455,2,14,8,5532
456,2,14,10,2751
457,2,14,11,4709
458,2,15,1,7321
459,2,15,3,3340
460,2,15,4,2946
461,2,15,5,5439
